priority,keyword_cluster,best_target_url,target_rank,current_position,position_source,owner,status,next_action
P1,paradise valley agadir,/blog/paradise-valley-agadir-guide.html,3,8.1,GSC page average,unassigned,ready_to_refresh,"Refresh snippet, move logistics higher, and strengthen links into the Paradise Valley tour page"
P1,agadir day trips,/blog/agadir-day-trips.html,5,62,DataForSEO ranked keyword snapshot,unassigned,ready_to_rebuild,"Rebuild as a route-comparison money hub and link to all core excursion pages"
P1,marrakech day trip from agadir,/tours/day-trip-marrakech-from-agadir-new.html,5,59,DataForSEO ranked keyword snapshot,unassigned,ready_to_refresh,"Tighten money-page targeting, add itinerary clarity, and answer booking objections early"
P1,hammam agadir,/tours/tour-moroccan-hammam-agadir.html,5,>100,Live SERP Google Morocco FR,unassigned,ready_to_refresh,"Upgrade as a core activity page with clearer expectations, inclusions, and trust cues"
P1,quad biking agadir,/tours/tour-agadir-half-quad-biking-adventure.html,5,31,DataForSEO ranked keyword snapshot,unassigned,ready_to_refresh,"Strengthen commercial targeting and support with the quad guide and internal links"
P1,jet ski agadir,/tours/tour-jet-ski-agadir-new.html,3,6.8,GSC page average,unassigned,ready_to_refresh,"Improve title, pricing clarity, duration framing, and marina context"
P2,boat trip agadir,/tours/tour-agadir-half-day-boat-trip.html,5,>100,Live SERP Google United Kingdom EN for agadir boat trip,unassigned,backlog_refresh,"Refresh page depth, inclusion details, and seasonal framing"
P2,horse riding agadir,/tours/tour-horse-riding-agadir.html,5,23,DataForSEO ranked keyword snapshot,unassigned,backlog_refresh,"Improve page targeting, reassurance, and comparison detail"
P2,camel ride agadir,/tours/tour-agadir-sunset-camel-ride.html,5,38-45,DataForSEO ranked keyword snapshot,unassigned,needs_consolidation,"Clarify the roles of sunset vs morning camel pages and reduce intent overlap"
P2,souss massa national park,/tours/tour-souss-massa-park-agadir.html,3,>100,Live SERP Google United Kingdom EN,unassigned,backlog_refresh,"Refresh the tour page and support it with a guide-style article"
P2,telepherique agadir,/tours/tour-agadir-guided-city-tour-cable-car.html,5,>100,Live SERP Google Morocco FR,unassigned,backlog_refresh,"Make cable car intent explicit in title, H1, sections, and FAQ"
P3,things to do in agadir,/blog/top-10-things-to-do-agadir-2026.html,5,7.0,GSC page average,unassigned,support_refresh,"Keep as a hub and route harder into tours and day trips"
P3,visite agadir,/fr/visite-agadir.html,3,>100,Live SERP Google Morocco FR,unassigned,new_page_candidate,"Create a French commercial hub after the top refreshes are shipped"
P3,3 days in agadir,/blog/agadir-3-day-itinerary.html,3,3.4,GSC page average,unassigned,support_refresh,"Expand internal links into Paradise Valley, city tour, and day trips"
